B0,B1,B2,B3,Label
-24,-57,-52,-67,13
-49,-23,-61,-53,4
-53,-46,-32,-51,1
-52,-22,-59,-58,4
-24,-61,-53,-62,13
-55,-60,-54,-37,12
-55,-61,-52,-38,12
-58,-52,-53,-38,12
-53,-46,-32,-50,1
-36,-36,-53,-53,9
-47,-55,-55,-29,16
-50,-53,-36,-48,8
-50,-23,-61,-53,4
-50,-54,-55,-28,16
-36,-47,-53,-54,9
-58,-53,-53,-37,12
-51,-55,-54,-30,16
-50,-23,-61,-54,4
-28,-61,-53,-69,13
-51,-53,-37,-48,8
-52,-41,-52,-58,5
-25,-59,-53,-67,13
-25,-55,-53,-64,13
-36,-49,-53,-57,9
-53,-46,-32,-54,1
-49,-22,-60,-53,4
-63,-41,-51,-58,5
-55,-52,-51,-38,12
-48,-54,-51,-29,16
-51,-53,-36,-47,8
-36,-49,-52,-54,9
-51,-41,-53,-58,5
-51,-57,-55,-30,16
-50,-54,-36,-47,8
-25,-54,-53,-61,13
-26,-61,-52,-62,13
-53,-46,-32,-50,1
-25,-57,-53,-67,13
-53,-46,-32,-48,1
-59,-52,-52,-37,12
-36,-49,-53,-53,9
-25,-61,-52,-66,13
-49,-55,-51,-29,16
-50,-53,-36,-47,8
-25,-60,-53,-64,13
-51,-54,-36,-50,8
-36,-49,-52,-53,9
-25,-59,-54,-67,13
-25,-61,-53,-65,13
-49,-25,-61,-54,4
-51,-51,-36,-47,8
-50,-53,-36,-48,8
-36,-49,-56,-53,9
-48,-40,-54,-58,5
-51,-53,-36,-48,8
-58,-54,-51,-37,12
-51,-53,-36,-48,8
-49,-23,-58,-54,4
-51,-53,-35,-48,8
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-54,-51,-37,12
-58,-53,-54,-38,12
-52,-41,-53,-58,5
-48,-23,-60,-54,4
-55,-52,-54,-37,12
-50,-52,-36,-49,8
-49,-23,-62,-53,4
-25,-60,-53,-61,13
-53,-46,-32,-50,1
-37,-45,-53,-53,9
-51,-53,-36,-47,8
-53,-46,-32,-51,1
-25,-61,-52,-67,13
-49,-23,-61,-54,4
-50,-24,-59,-53,4
-36,-36,-52,-52,9
-51,-53,-36,-48,8
-50,-52,-36,-48,8
-36,-48,-55,-54,9
-49,-54,-53,-30,16
-35,-49,-51,-57,9
-53,-40,-52,-58,5
-35,-49,-53,-53,9
-37,-36,-54,-53,9
-52,-40,-53,-59,5
-56,-53,-51,-38,12
-48,-24,-61,-53,4
-49,-38,-53,-59,5
-36,-37,-53,-53,9
-50,-22,-62,-54,4
-36,-48,-55,-53,9
-56,-53,-50,-38,12
-50,-53,-36,-47,8
-55,-53,-53,-38,12
-53,-46,-32,-51,1
-47,-54,-54,-29,16
-60,-40,-52,-58,5
-48,-55,-55,-30,16
-58,-53,-50,-38,12
-24,-60,-52,-62,13
-55,-60,-54,-38,12
-53,-46,-32,-49,1
-36,-36,-53,-53,9
-50,-24,-62,-53,4
-49,-55,-54,-30,16
-25,-59,-54,-67,13
-51,-54,-55,-29,16
-49,-23,-65,-54,4
-51,-54,-36,-47,8
-35,-50,-51,-53,9
-51,-52,-36,-47,8
-58,-53,-53,-37,12
-53,-42,-53,-58,5
-26,-59,-54,-63,13
-47,-40,-53,-58,5
-50,-24,-61,-54,4
-50,-39,-54,-57,5
-36,-48,-53,-54,9
-50,-24,-63,-54,4
-53,-46,-32,-50,1
-50,-23,-59,-54,4
-24,-63,-53,-65,13
-50,-54,-53,-30,16
-49,-54,-52,-29,16
-47,-55,-52,-30,16
-53,-46,-32,-54,1
-51,-53,-36,-48,8
-25,-61,-50,-63,13
-51,-54,-36,-48,8
-49,-41,-53,-58,5
-55,-53,-53,-38,12
-25,-60,-52,-63,13
-49,-56,-53,-29,16
-25,-60,-53,-66,13
-54,-40,-53,-58,5
-36,-50,-55,-53,9
-50,-52,-36,-47,8
-49,-54,-54,-29,16
-51,-52,-36,-48,8
-36,-36,-55,-54,9
-49,-56,-54,-30,16
-50,-23,-63,-54,4
-36,-37,-52,-53,9
-25,-56,-54,-67,13
-51,-53,-36,-48,8
-50,-22,-64,-53,4
-54,-40,-52,-58,5
-56,-61,-53,-38,12
-49,-55,-53,-30,16
-53,-46,-32,-51,1
-58,-52,-54,-38,12
-37,-36,-52,-52,9
-50,-52,-36,-49,8
-56,-54,-48,-39,12
-48,-54,-55,-29,16
-58,-54,-51,-38,12
-48,-55,-53,-30,16
-25,-60,-54,-65,13
-56,-54,-49,-39,12
-49,-23,-58,-54,4
-53,-46,-32,-53,1
-59,-58,-54,-38,12
-51,-53,-36,-49,8
-36,-48,-52,-53,9
-56,-53,-54,-38,12
-50,-23,-61,-58,4
-25,-57,-49,-68,13
-51,-64,-50,-37,12
-47,-55,-53,-30,16
-53,-40,-52,-57,5
-53,-40,-52,-58,5
-50,-53,-36,-47,8
-48,-55,-55,-30,16
-51,-52,-36,-48,8
-57,-53,-53,-38,12
-49,-22,-64,-54,4
-48,-53,-54,-30,16
-24,-61,-53,-67,13
-25,-61,-53,-67,13
-60,-41,-53,-57,5
-52,-41,-53,-57,5
-25,-60,-54,-62,13
-56,-52,-50,-38,12
-55,-53,-51,-38,12
-59,-53,-53,-37,12
-56,-41,-52,-57,5
-36,-37,-53,-53,9
-58,-54,-52,-37,12
-51,-38,-53,-58,5
-48,-42,-54,-58,5
-49,-55,-53,-29,16
-50,-56,-55,-28,16
-25,-60,-52,-62,13
-58,-53,-54,-38,12
-49,-23,-63,-53,4
-52,-44,-53,-57,5
-53,-46,-32,-51,1
-51,-53,-36,-48,8
-25,-61,-53,-65,13
-53,-59,-49,-37,12
-36,-50,-53,-53,9
-36,-36,-55,-53,9
-51,-53,-36,-48,8
-51,-53,-36,-49,8
-53,-46,-32,-52,1
-49,-23,-59,-53,4
-49,-23,-59,-53,4
-50,-53,-36,-47,8
-49,-53,-53,-28,16
-36,-50,-54,-53,9
-49,-24,-62,-54,4
-50,-53,-36,-48,8
-36,-50,-52,-53,9
-24,-56,-53,-63,13
-51,-23,-60,-59,4
-53,-46,-32,-53,1
-58,-54,-54,-37,12
-49,-22,-60,-53,4
-53,-54,-55,-28,16
-25,-60,-52,-67,13
-25,-63,-53,-65,13
-50,-52,-36,-47,8
-53,-46,-32,-51,1
-47,-53,-54,-29,16
-24,-59,-52,-67,13
-53,-46,-32,-54,1
-36,-48,-52,-53,9
-53,-46,-32,-54,1
-58,-53,-52,-38,12
-59,-53,-53,-38,12
-57,-53,-52,-37,12
-47,-54,-54,-30,16
-36,-36,-53,-52,9
-51,-53,-55,-33,16
-53,-46,-32,-54,1
-49,-56,-54,-29,16
-51,-54,-36,-49,8
-53,-46,-32,-51,1
-54,-41,-51,-58,5
-53,-46,-32,-48,1
-48,-55,-54,-28,16
-54,-38,-53,-58,5
-53,-46,-32,-51,1
-53,-41,-53,-57,5
-24,-61,-53,-69,13
-49,-55,-55,-29,16
-37,-37,-53,-53,9
-54,-40,-53,-57,5
-48,-53,-53,-29,16
-51,-53,-36,-49,8
-52,-41,-54,-58,5
-36,-36,-53,-54,9
-37,-37,-53,-56,9
-51,-52,-35,-47,8
-25,-58,-53,-70,13
-49,-23,-62,-54,4
-36,-48,-54,-52,9
-25,-54,-54,-62,13
-50,-22,-62,-58,4
-36,-49,-53,-53,9
-48,-53,-54,-30,16
-52,-39,-53,-58,5
-50,-23,-62,-54,4
-49,-54,-55,-30,16
-36,-36,-53,-53,9
-50,-23,-59,-53,4
-51,-52,-36,-49,8
-53,-46,-32,-52,1
-50,-20,-62,-54,4
-58,-52,-53,-38,12
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-25,-57,-53,-63,13
-26,-59,-53,-65,13
-58,-41,-52,-57,5
-49,-39,-53,-58,5
-48,-38,-53,-58,5
-61,-39,-52,-59,5
-56,-54,-49,-38,12
-50,-23,-60,-53,4
-36,-36,-53,-54,9
-53,-46,-32,-51,1
-51,-52,-36,-48,8
-53,-46,-32,-50,1
-58,-53,-54,-38,12
-53,-46,-32,-50,1
-25,-57,-53,-60,13
-53,-46,-32,-50,1
-49,-53,-54,-29,16
-58,-53,-53,-38,12
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-50,-52,-37,-48,8
-58,-53,-53,-38,12
-56,-58,-52,-38,12
-51,-52,-35,-48,8
-53,-46,-32,-46,1
-50,-53,-36,-47,8
-50,-23,-62,-54,4
-53,-46,-32,-51,1
-50,-25,-60,-56,4
-53,-46,-32,-50,1
-56,-62,-54,-39,12
-53,-46,-32,-50,1
-49,-23,-62,-53,4
-53,-46,-32,-51,1
-50,-51,-36,-47,8
-53,-46,-32,-50,1
-51,-53,-36,-48,8
-36,-36,-54,-53,9
-54,-38,-52,-57,5
-36,-48,-53,-53,9
-27,-57,-53,-63,13
-59,-40,-51,-57,5
-50,-53,-36,-49,8
-48,-53,-54,-29,16
-54,-53,-52,-37,12
-53,-46,-32,-50,1
-49,-55,-55,-34,16
-50,-23,-61,-53,4
-59,-46,-51,-58,5
-50,-53,-36,-50,8
-49,-23,-61,-54,4
-53,-46,-32,-53,1
-53,-46,-32,-49,1
-37,-36,-52,-53,9
-49,-23,-61,-54,4
-52,-39,-53,-58,5
-49,-54,-54,-30,16
-50,-23,-61,-54,4
-52,-39,-53,-58,5
-51,-52,-36,-47,8
-58,-52,-54,-38,12
-48,-55,-52,-30,16
-53,-42,-53,-60,5
-53,-46,-32,-52,1
-25,-54,-53,-67,13
-59,-42,-52,-58,5
-53,-46,-32,-52,1
-59,-47,-52,-58,5
-52,-55,-54,-28,16
-57,-53,-50,-38,12
-56,-40,-53,-57,5
-58,-53,-54,-39,12
-36,-49,-52,-53,9
-51,-54,-54,-29,16
-53,-46,-32,-51,1
-51,-52,-36,-47,8
-50,-58,-55,-30,16
-36,-50,-54,-53,9
-51,-53,-36,-47,8
-51,-52,-36,-47,8
-50,-55,-54,-31,16
-36,-49,-53,-52,9
-50,-54,-36,-47,8
-53,-46,-32,-47,1
-50,-54,-37,-48,8
-53,-46,-32,-51,1
-54,-40,-53,-57,5
-37,-49,-53,-53,9
-50,-53,-36,-48,8
-36,-49,-53,-53,9
-48,-37,-54,-58,5
-54,-39,-54,-58,5
-58,-53,-54,-38,12
-37,-36,-53,-53,9
-25,-59,-52,-67,13
-60,-39,-51,-58,5
-58,-54,-53,-38,12
-51,-55,-55,-33,16
-53,-46,-32,-52,1
-51,-51,-36,-47,8
-59,-53,-50,-29,16
-51,-52,-36,-47,8
-51,-41,-52,-58,5
-38,-51,-50,-54,9
-49,-23,-63,-54,4
-52,-52,-36,-48,8
-51,-52,-36,-47,8
-51,-53,-54,-29,16
-49,-39,-54,-58,5
-61,-41,-52,-58,5
-49,-54,-52,-29,16
-57,-58,-53,-38,12
-58,-53,-54,-38,12
-25,-59,-53,-67,13
-50,-23,-61,-53,4
-49,-21,-62,-54,4
-54,-53,-51,-37,12
-48,-55,-53,-30,16
-25,-59,-54,-67,13
-53,-46,-32,-51,1
-49,-55,-53,-29,16
-56,-53,-50,-38,12
-53,-46,-32,-51,1
-58,-53,-54,-38,12
-25,-60,-53,-67,13
-49,-23,-61,-54,4
-36,-36,-52,-53,9
-35,-57,-53,-53,9
-53,-46,-32,-52,1
-51,-51,-36,-48,8
-51,-56,-53,-29,16
-24,-64,-52,-63,13
-56,-53,-53,-38,12
-51,-53,-37,-48,8
-53,-46,-32,-50,1
-59,-53,-55,-29,16
-51,-52,-36,-47,8
-53,-54,-52,-37,12
-50,-51,-37,-47,8
-57,-53,-52,-37,12
-47,-55,-54,-29,16
-50,-52,-55,-34,16
-49,-38,-53,-59,5
-58,-54,-52,-38,12
-59,-53,-53,-38,12
-53,-46,-32,-50,1
-36,-36,-53,-53,9
-50,-55,-51,-29,16
-25,-62,-53,-62,13
-56,-54,-52,-37,12
-25,-56,-53,-69,13
-50,-22,-61,-54,4
-56,-37,-53,-57,5
-54,-55,-53,-37,12
-53,-46,-32,-51,1
-50,-24,-65,-55,4
-36,-44,-52,-53,9
-25,-60,-53,-61,13
-49,-54,-54,-30,16
-51,-51,-36,-48,8
-50,-23,-60,-54,4
-53,-46,-32,-51,1
-51,-54,-36,-48,8
-48,-54,-54,-29,16
-51,-53,-37,-47,8
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-50,-22,-60,-54,4
-52,-41,-54,-58,5
-25,-63,-54,-67,13
-56,-45,-53,-59,5
-53,-46,-32,-51,1
-50,-23,-61,-54,4
-25,-59,-53,-62,13
-49,-23,-60,-54,4
-52,-51,-49,-37,12
-53,-39,-53,-57,5
-51,-53,-36,-47,8
-54,-39,-52,-57,5
-49,-53,-55,-30,16
-25,-57,-53,-65,13
-51,-53,-36,-48,8
-50,-53,-35,-47,8
-36,-49,-53,-53,9
-58,-53,-54,-37,12
-49,-54,-54,-29,16
-53,-46,-32,-49,1
-55,-51,-55,-38,12
-52,-37,-52,-58,5
-51,-23,-62,-53,4
-49,-53,-55,-29,16
-49,-23,-63,-53,4
-36,-36,-52,-53,9
-36,-36,-53,-54,9
-25,-57,-53,-62,13
-25,-59,-53,-69,13
-50,-52,-36,-47,8
-53,-46,-32,-49,1
-51,-53,-36,-47,8
-37,-49,-51,-54,9
-57,-53,-54,-38,12
-47,-23,-60,-54,4
-25,-60,-53,-67,13
-50,-40,-54,-58,5
-58,-54,-54,-38,12
-58,-53,-54,-37,12
-55,-61,-53,-38,12
-49,-22,-62,-53,4
-49,-23,-63,-58,4
-58,-49,-52,-58,5
-37,-49,-53,-53,9
-61,-42,-52,-57,5
-50,-53,-35,-48,8
-58,-52,-54,-37,12
-51,-53,-35,-47,8
-36,-47,-53,-53,9
-50,-53,-36,-47,8
-25,-58,-53,-64,13
-50,-24,-58,-53,4
-53,-46,-32,-53,1
-55,-58,-54,-38,12
-49,-23,-60,-54,4
-53,-46,-32,-54,1
-36,-49,-53,-53,9
-53,-46,-32,-50,1
-53,-53,-52,-37,12
-51,-52,-36,-47,8
-48,-54,-53,-30,16
-49,-23,-59,-53,4
-25,-54,-52,-67,13
-48,-56,-54,-28,16
-25,-56,-52,-67,13
-50,-23,-62,-53,4
-36,-47,-52,-54,9
-51,-52,-36,-50,8
-58,-53,-53,-38,12
-36,-48,-52,-53,9
-53,-46,-32,-54,1
-25,-55,-52,-65,13
-53,-46,-32,-53,1
-55,-54,-51,-39,12
-26,-61,-53,-67,13
-55,-42,-53,-58,5
-50,-52,-36,-48,8
-58,-53,-54,-38,12
-51,-54,-52,-30,16
-57,-53,-53,-39,12
-25,-61,-53,-62,13
-50,-52,-36,-47,8
-58,-53,-53,-38,12
-56,-54,-50,-38,12
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-50,-52,-36,-48,8
-51,-53,-37,-47,8
-25,-56,-53,-65,13
-53,-40,-53,-58,5
-51,-52,-36,-48,8
-49,-23,-63,-54,4
-26,-59,-53,-67,13
-50,-23,-62,-54,4
-46,-23,-59,-54,4
-51,-23,-64,-54,4
-54,-54,-53,-37,12
-49,-23,-63,-54,4
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-36,-37,-53,-53,9
-51,-52,-36,-48,8
-53,-46,-32,-51,1
-51,-60,-54,-30,16
-51,-53,-36,-47,8
-49,-54,-53,-30,16
-36,-49,-53,-53,9
-51,-53,-34,-48,8
-50,-24,-63,-55,4
-24,-55,-52,-64,13
-53,-46,-32,-49,1
-36,-49,-55,-53,9
-55,-53,-52,-39,12
-51,-52,-36,-47,8
-51,-52,-37,-47,8
-49,-54,-54,-29,16
-53,-46,-32,-55,1
-53,-46,-32,-50,1
-36,-50,-52,-53,9
-53,-46,-32,-51,1
-37,-38,-54,-53,9
-51,-54,-54,-30,16
-36,-47,-53,-53,9
-50,-23,-56,-54,4
-35,-48,-53,-54,9
-51,-23,-63,-54,4
-53,-46,-32,-50,1
-58,-53,-53,-38,12
-53,-46,-32,-51,1
-49,-52,-55,-30,16
-51,-54,-37,-49,8
-50,-53,-36,-47,8
-62,-38,-52,-57,5
-49,-55,-53,-30,16
-53,-46,-32,-51,1
-51,-50,-37,-47,8
-49,-54,-53,-29,16
-36,-36,-53,-53,9
-47,-55,-54,-28,16
-49,-23,-61,-56,4
-37,-36,-52,-53,9
-36,-49,-53,-53,9
-59,-53,-53,-38,12
-57,-53,-52,-38,12
-24,-55,-51,-68,13
-60,-38,-53,-57,5
-51,-51,-36,-48,8
-54,-41,-55,-57,5
-53,-46,-32,-52,1
-49,-54,-55,-30,16
-53,-46,-32,-53,1
-48,-40,-54,-58,5
-53,-46,-32,-53,1
-36,-48,-52,-54,9
-53,-46,-32,-50,1
-51,-52,-36,-47,8
-57,-53,-51,-38,12
-50,-54,-35,-48,8
-53,-46,-32,-52,1
-57,-48,-45,-58,5
-25,-60,-53,-65,13
-36,-36,-53,-53,9
-49,-23,-63,-53,4
-49,-24,-59,-53,4
-51,-51,-36,-48,8
-53,-46,-32,-51,1
-25,-61,-50,-62,13
-24,-57,-53,-63,13
-58,-52,-51,-39,12
-55,-37,-51,-57,5
-50,-23,-63,-54,4
-58,-52,-53,-37,12
-24,-60,-54,-60,13
-56,-53,-54,-38,12
-58,-53,-54,-38,12
-53,-46,-32,-50,1
-49,-23,-59,-53,4
-53,-46,-32,-51,1
-36,-36,-52,-53,9
-51,-52,-36,-47,8
-36,-47,-53,-55,9
-25,-56,-53,-65,13
-51,-40,-53,-59,5
-51,-52,-36,-48,8
-36,-49,-53,-55,9
-25,-59,-52,-68,13
-62,-42,-53,-58,5
-51,-52,-37,-48,8
-37,-36,-54,-53,9
-51,-53,-36,-48,8
-48,-54,-54,-28,16
-50,-22,-60,-55,4
-25,-65,-53,-64,13
-54,-53,-52,-37,12
-36,-36,-54,-53,9
-56,-53,-49,-39,12
-47,-41,-52,-57,5
-51,-55,-52,-29,16
-49,-22,-61,-53,4
-36,-36,-52,-53,9
-48,-54,-55,-28,16
-51,-52,-36,-49,8
-52,-22,-62,-54,4
-25,-50,-53,-66,13
-51,-40,-54,-58,5
-49,-23,-62,-53,4
-36,-47,-53,-53,9
-49,-23,-62,-53,4
-53,-46,-32,-51,1
-35,-48,-54,-53,9
-53,-46,-32,-51,1
-48,-56,-52,-29,16
-25,-54,-53,-67,13
-37,-36,-53,-53,9
-53,-46,-32,-54,1
-36,-47,-52,-53,9
-53,-46,-32,-50,1
-48,-56,-54,-29,16
-24,-56,-53,-67,13
-25,-60,-53,-65,13
-54,-53,-53,-37,12
-53,-40,-54,-59,5
-49,-55,-53,-30,16
-50,-52,-36,-48,8
-49,-55,-55,-28,16
-25,-57,-53,-66,13
-25,-59,-53,-63,13
-49,-39,-54,-58,5
